2025-09-21T15:50:19,035 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.kar.core/4.4.3
2025-09-21T15:50:19,048 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Command registration delayed for bundle org.apache.karaf.kar.core/4.4.3. Missing service: [org.apache.karaf.kar.KarService]
2025-09-21T15:50:19,049 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.system.core/4.4.3
2025-09-21T15:50:19,050 | INFO  | activator-1-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.kar.core/4.4.3
2025-09-21T15:50:19,066 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.system.core/4.4.3
2025-09-21T15:50:19,066 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.jmx.api/1.1.5
2025-09-21T15:50:19,068 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.jmx.core/1.1.8
2025-09-21T15:50:19,072 | INFO  | features-3-thread-1 | core                             | 30 - org.apache.aries.jmx.core - 1.1.8 | Starting JMX OSGi agent
2025-09-21T15:50:19,089 | INFO  | features-3-thread-1 | core                             | 30 - org.apache.aries.jmx.core - 1.1.8 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=a45f8c1e-4e49-494c-8fea-92fff5120641] for service with service.id [16]
2025-09-21T15:50:19,091 | INFO  | features-3-thread-1 | core                             | 30 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2720c366 with name osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=a45f8c1e-4e49-494c-8fea-92fff5120641
